uuid,cloud_csp,instance type,region,max cpu%,max mem used,max network bw,max disk bw used,max iops
i-0e6525a57a30a2fb4,AWS,c7a.2xlarge,us-east-1,0.00,0.00,0.00000000,0,0
i-071d1d9337b22ad1c,AWS,c7a.2xlarge,us-east-1,0.00,0.00,0.00000000,0,0
i-02c1edeea67ad3d40,AWS,g4dn.2xlarge,us-east-1,0.00,0.00,0.00000000,0,0
i-0e1f63e6deafe5836,AWS,m7a.metal-48xl,us-east-1,0.00,0.00,0.00000000,0,0
i-00169b4e0a596305a,AWS,m7a.48xlarge,us-east-1,0.00,0.00,0.00000000,0,0
i-0d316882f27855083,AWS,m6a.4xlarge,us-east-1,0.00,0.00,0.00000000,0,0
i-0706c1f6137a9f1b1,AWS,g5g.xlarge,us-east-1,0.00,0.00,0.00000000,0,0
i-0f1921673860173cd,AWS,g5g.2xlarge,us-east-1,0.00,0.00,0.00000000,0,0
i-013ad314b58fceb63,AWS,m7a.metal-48xl,us-east-2,0.00,0.00,0.00000000,0,0
i-05e102a545cb43d04,AWS,m7a.48xlarge,us-east-2,0.00,0.00,0.00000000,0,0
i-0fc29f60f889a32ba,AWS,m7a.metal-48xl,us-east-2,0.00,0.00,0.00000000,0,0
i-067d785dc64f10139,AWS,m7a.24xlarge,us-east-2,0.00,0.00,0.00000000,0,0
i-037d5e5c2a2fbd6b8,AWS,m7a.24xlarge,us-east-2,0.00,0.00,0.00000000,0,0
i-0c435dfe8ef631ac2,AWS,m7a.8xlarge,us-east-2,1.41,0.00,1.05862640,287,1825
i-0badef87fcbd353c1,AWS,m7a.48xlarge,us-east-2,0.00,0.00,0.00000000,0,0
i-0cb90cacbcce4ab8d,AWS,m7a.8xlarge,us-east-2,5.14,0.82,0.12839891,655,47723
i-038b98b302dd10eaf,AWS,m7a.metal-48xl,us-east-2,0.00,0.00,0.00000000,0,0
i-0db8819a8c9fae9a3,AWS,c6i.8xlarge,us-west-2,0.00,0.00,0.00000000,0,0
i-055027c6116c50d11,AWS,c7a.metal-48xl,us-west-2,0.00,0.00,0.00000000,0,0
i-05bc258bee4c71e89,AWS,m7i.4xlarge,us-west-2,0.00,0.00,0.00000000,0,0
i-01a6331bc5dea2021,AWS,p5.48xlarge,us-west-2,0.00,0.00,0.00000000,0,0
i-037e9b7be77e43aa6,AWS,c7a.metal-48xl,us-west-2,0.00,0.00,0.00000000,0,0
i-0034e7a10feb25f3c,AWS,c7i.metal-48xl,us-west-2,0.00,0.00,0.00000000,0,0
i-0806ab012f3422695,AWS,c7i.16xlarge,us-west-2,0.00,0.00,0.00000000,0,0
i-06b3578fc3e74f91c,AWS,c7i.24xlarge,us-west-2,0.00,0.00,0.00000000,0,0
i-01a763584711b00b3,AWS,m7a.12xlarge,us-west-2,0.00,0.00,0.00000000,0,0
i-0ddc7080b82d38266,AWS,m7i.12xlarge,us-west-2,0.00,0.00,0.00000000,0,0
i-02a360a523578315e,AWS,c7a.metal-48xl,us-west-2,0.00,0.00,0.00000000,0,0
i-06f08a1114a94438c,AWS,m7a.32xlarge,us-west-2,0.00,0.00,0.00000000,0,0
i-00e291abe7e795414,AWS,m7a.24xlarge,us-west-2,0.00,0.00,0.00000000,0,0
i-021c62189f6a18609,AWS,r7a.24xlarge,us-west-2,0.00,0.00,0.00000000,0,0
i-09b3e147591fa9810,AWS,m7a.4xlarge,us-west-2,0.00,0.00,0.00000000,0,0
i-08ba47b7891d73ce1,AWS,m7a.8xlarge,us-west-2,0.00,0.00,0.00000000,0,0
i-045abe658907a06df,AWS,m7a.24xlarge,us-west-2,0.64,0.00,0.28157709,528,41173
